The average accuracy is 0.7922901678657074 for Experiment: waterlevel_12h, model: Models.DLinear, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 300, input_size: 300, stride: 15
The average accuracy is 0.7297351421188629 for Experiment: waterlevel_12h, model: Models.DLinear, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 300, input_size: 900, stride: 15
The average accuracy is 0.8870102339181286 for Experiment: waterlevel_12h, model: Models.DLinear, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 300, input_size: 1800, stride: 15
The average accuracy is 0.9316642300194932 for Experiment: waterlevel_12h, model: Models.DLinear, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 1800, input_size: 1800, stride: 15
The average accuracy is 0.15989808153477217 for Experiment: heating_12h, model: Models.LightGBM, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 300, input_size: 300, stride: 15
The average accuracy is 0.08226744186046513 for Experiment: heating_12h, model: Models.TCN, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 300, input_size: 900, stride: 15
The average accuracy is 0.22538011695906432 for Experiment: heating_12h, model: Models.TCN, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 300, input_size: 1800, stride: 15
The average accuracy is 0.11283260233918127 for Experiment: heating_12h, model: Models.TCN, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 1800, input_size: 1800, stride: 15
The average accuracy is 0.7528935185185186 for Experiment: irrigation_1y, model: Models.LSTM, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 24, input_size: 24, stride: 12
The average accuracy is 1.0 for Experiment: irrigation_1y, model: Models.LSTM, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 24, input_size: 48, stride: 12
The average accuracy is 0.9741071428571428 for Experiment: irrigation_1y, model: Models.TCN, horizon: Horizon.ST, component: Components.ALL, segment: Components.SENSORS_ONLY, prediction horizon: 24, input_size: 72, stride: 12
